Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 3,3,0.5686,0.0124,0.5659,wav2vec2,MSP-Podcast,20
Layer 4,4,0.5732,0.0043,0.5711,wav2vec2,MSP-Podcast,20
Layer 5,5,0.5815,0.0038,0.5793,wav2vec2,MSP-Podcast,20
Layer 6,6,0.5771,0.0063,0.5756,wav2vec2,MSP-Podcast,20
Layer 7,7,0.5783,0.0061,0.5788,wav2vec2,MSP-Podcast,20
Layer 8,8,0.579,0.0074,0.5785,wav2vec2,MSP-Podcast,20
Layer 9,9,0.5834,0.0063,0.5835,wav2vec2,MSP-Podcast,20
Layer 10,10,0.5798,0.0052,0.5799,wav2vec2,MSP-Podcast,20
Layer 11,11,0.5841,0.0062,0.5834,wav2vec2,MSP-Podcast,20
Layer 12,12,0.5803,0.0042,0.5808,wav2vec2,MSP-Podcast,20
Layer 13,13,0.5802,0.0048,0.5817,wav2vec2,MSP-Podcast,20
Layer 14,14,0.5737,0.0078,0.5748,wav2vec2,MSP-Podcast,20
Layer 15,15,0.5779,0.0046,0.5791,wav2vec2,MSP-Podcast,20
Layer 16,16,0.5792,0.0053,0.5793,wav2vec2,MSP-Podcast,20
Layer 17,17,0.577,0.0088,0.5777,wav2vec2,MSP-Podcast,20
Layer 18,18,0.5722,0.0089,0.5719,wav2vec2,MSP-Podcast,20
Layer 19,19,0.578,0.0096,0.5756,wav2vec2,MSP-Podcast,20
Layer 20,20,0.5624,0.007,0.5592,wav2vec2,MSP-Podcast,20
Layer 21,21,0.5561,0.0041,0.5517,wav2vec2,MSP-Podcast,20
Layer 22,22,0.557,0.0062,0.5492,wav2vec2,MSP-Podcast,20
Layer 23,23,0.5498,0.008,0.5419,wav2vec2,MSP-Podcast,20
Layer 24,24,0.5298,0.0086,0.5204,wav2vec2,MSP-Podcast,20
CNN,0,0.5682,0.0142,0.5472,wav2vec2,MSP-Podcast,5
Layer 1,1,0.5455,0.0067,0.5366,wav2vec2,MSP-Podcast,5
Layer 2,2,0.5513,0.0057,0.5443,wav2vec2,MSP-Podcast,5
Layer 3,3,0.549,0.0123,0.5438,wav2vec2,MSP-Podcast,5
Layer 4,4,0.5552,0.0045,0.5509,wav2vec2,MSP-Podcast,5
Layer 5,5,0.5549,0.0067,0.5512,wav2vec2,MSP-Podcast,5
Layer 6,6,0.5549,0.0073,0.5533,wav2vec2,MSP-Podcast,5
Layer 7,7,0.5559,0.0033,0.5541,wav2vec2,MSP-Podcast,5
Layer 8,8,0.5596,0.0043,0.5591,wav2vec2,MSP-Podcast,5
Layer 9,9,0.5679,0.0089,0.5664,wav2vec2,MSP-Podcast,5
Layer 10,10,0.5655,0.0059,0.5643,wav2vec2,MSP-Podcast,5
Layer 11,11,0.5682,0.0036,0.5675,wav2vec2,MSP-Podcast,5
Layer 12,12,0.5641,0.0101,0.5633,wav2vec2,MSP-Podcast,5
Layer 13,13,0.5666,0.0127,0.5663,wav2vec2,MSP-Podcast,5
Layer 14,14,0.5591,0.0104,0.5594,wav2vec2,MSP-Podcast,5
Layer 15,15,0.5584,0.0108,0.5579,wav2vec2,MSP-Podcast,5
Layer 16,16,0.5548,0.0043,0.5554,wav2vec2,MSP-Podcast,5
Layer 17,17,0.5599,0.0059,0.5593,wav2vec2,MSP-Podcast,5
Layer 18,18,0.55,0.0149,0.5475,wav2vec2,MSP-Podcast,5
Layer 19,19,0.5533,0.0035,0.5497,wav2vec2,MSP-Podcast,5
Layer 20,20,0.5461,0.0092,0.5421,wav2vec2,MSP-Podcast,5
Layer 21,21,0.5364,0.0109,0.5313,wav2vec2,MSP-Podcast,5
Layer 22,22,0.5385,0.0065,0.5302,wav2vec2,MSP-Podcast,5
Layer 23,23,0.5175,0.0125,0.5059,wav2vec2,MSP-Podcast,5
Layer 24,24,0.4966,0.0102,0.4858,wav2vec2,MSP-Podcast,5
